inspire,cds
Abh.Math.Sem.Univ.Hamburg,Abh. Math. Sem. Hamburg
Accounts Chem.Res.,Account Chem. Res.
ACM Trans.Math.Software,ACM Trans. Math. Softw.
Acta Cosmologica,Acta Cosmol.
Acta Math.Univ.Comenianae,Acta Math. Univ. Comen.
Acta Phys.Austriaca Suppl.,"Acta Phys. Austriaca, Suppl."
Acta Phys.Polon.,Acta Phys. Pol.
Acta Phys.Polon.Supp.,Acta Phys. Pol. B Proc. Suppl.
Acta Phys.Slov.,Acta Phys. Slovaca
Adv.Atom.Molec.Phys.,Adv. At. Mol. Phys.
Adv.Prot.Chem.,Adv. Protein Chem.
Adv.Quant.Chem.,Adv. Quantum Chem.
AIAA J.,Am. Inst. Aero. Astron. J.
Alg.Anal.,Algebr. Anal.
Alg.Groups Geom.,Algebr. Groups Geom.
Am.Statist.,Am. Stat.
Anales Fis.,Ann. Fis.
Ann.Inst.H.Poincare Anal.Non Lineaire,"Ann. Inst. Henri Poincaré, Anal. Linéaire"
Ann.Inst.H.Poincare Probab.Statist.,"Ann. Inst. Henri Poincaré, Probab. Stat."
Ann.Inst.Henri Poincare,Ann. Inst. Henri Poincaré
Ann.Inst.Henri Poincare Phys.Theor.,Ann. Inst. Henri Poincaré A
Ann.Rev.Astron.Astrophys.,Annu. Rev. Astron. Astrophys.
Ann.Rev.Biophys.Biomol.Struct.,Annu. Rev. Biophys.
Ann.Rev.Earth Planet.Sci.,Annu. Rev. Earth Planet. Sci.
Ann.Rev.Fluid Mech.,Annu. Rev. Fluid Mech.
Ann.Rev.Mater.Sci.,Annu. Rev. Mater. Res.
Ann.Rev.Phys.Chem.,Annu. Rev. Phys. Chem.
Annalen Phys.,Ann. Phys. (Leipzig)
Annales Fac.Sci.Toulouse,Ann. Fac. Sci. (Toulouse)
Annales Fond.Broglie,Ann. Fond. Louis de Broglie
Annales Henri Poincare,Ann. Henri Poincaré
Annales Inst.Fourier,Ann. Inst. Fourier
Annales Phys.(France),Ann. Phys. (Les Ulis)
Annales Poincare Phys.Theor.,Ann. Inst. Henri Poincaré A
Annales Sci.Ecole Norm.Sup.,Ann. Sci. Ec. Norm. Supér.
